"feature_area","feature","wardian","orca_ade","cmux","conductor","t3code","comparison_notes","source_urls"
"Remote","Managed remote cloud workspace or microVM","Not evidenced","Partial - disposable cloud VM/per-workspace environment","Partial - Cloud VMs are listed as early access in the Founder's Edition; general availability is not documented","Yes - isolated Conductor Cloud microVM/sandbox with repos/deps/secrets/software","Not evidenced as managed execution; T3 Connect exposes a server rather than a coding sandbox","Conductor is the only generally documented managed isolated workspace platform; cmux's cloud VM capability is early access.","https://www.onorca.dev/docs/ways-to-run;https://github.com/manaflow-ai/cmux;https://www.conductor.build/docs/cloud;https://github.com/pingdotgg/t3code/blob/main/docs/internals/t3-connect.md"
"Remote","Remote collaboration and presence","Partial - topology/watchlists/remote roster; shared multiplayer editing not a core claim","Partial - mobile/remote agents and shared server; multiplayer presence not strongly documented","Yes - device presence service lets team members see who is live/offline; remote SSH notification routing is also supported","Yes - share workspace link, presence, follow, prompt together, shared chats/transcripts","Partial - shared environments and account-connected clients; collaboration features less central","Conductor's multiplayer positioning is strongest; cmux presence is a separate team service.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/remote-control.md;https://www.onorca.dev/docs/activity;https://github.com/manaflow-ai/cmux/blob/main/docs/presence-service.md;https://cmux.com/;https://www.conductor.build/;https://github.com/pingdotgg/t3code/blob/main/docs/internals/remote.md"
"Remote","Port forwarding and live preview routing","Partial - remote control and browser surfaces; port-forwarding contract not a headline","Yes - SSH port forwarding and remote browser/preview","Yes - SSH reverse TCP relay and browser routing","Yes - auto-port-forwarding and workspace port workflows","Yes - Tailscale endpoints, SSH local port forward, server/environment endpoints","Conductor and Orca explicitly emphasize ports; T3 documents endpoints/forwarding primarily for remote access.","https://www.onorca.dev/docs/ssh;https://cmux.com/docs/ssh;https://www.conductor.build/;https://github.com/pingdotgg/t3code/blob/main/docs/user/remote-access.md"
"Remote","Remote file transfer and upload/download","Partial - remote filesystem and agent/file surfaces","Yes - remote file/folder download and drag files to agents","Yes - scp drag image upload and remote file workflows","Partial - sync local directory and cloud workspace files","Partial - attachments upload to environment; SSH/file operations are server-side","cmux and Orca explicitly document remote transfer gestures; T3 documents server-side attachment upload.","https://www.onorca.dev/docs/ssh;https://cmux.com/docs/ssh;https://www.conductor.build/docs/cloud/working-with-cloud-workspaces;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Remote","Phone or browser pairing and remote gateway","Yes - Tailscale Serve remote gateway, paired PWA, revocation, CSRF/origin checks","Yes - mobile companion and remote servers; pairing details are product-specific","Yes - iOS pairing beta","Yes - share workspace link and desktop/mobile/API clients","Yes - one-time pairing tokens/QR, LAN/Tailscale/HTTPS endpoints, hosted web pairing","T3 and Wardian both document explicit device pairing/security flows.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/remote-control.md;https://www.onorca.dev/docs/mobile;https://cmux.com/;https://www.conductor.build/;https://github.com/pingdotgg/t3code/blob/main/docs/user/remote-access.md"
"Remote","Tailscale or tunnel transport","Yes - Tailscale Serve is the v1 remote-control path","Partial - Tailscale/remote server support is possible; not the core docs path","Partial - SSH relay and remote browser; Tailscale is not core","Partial - cloud service; self-hosted/tunnel details not central","Yes - Tailscale IP/Serve HTTPS, relay/T3 Connect, and direct LAN/custom HTTPS","Tailscale is explicit in Wardian and T3; cmux relies more on SSH relay.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/remote-control.md;https://www.onorca.dev/docs/remote-servers;https://cmux.com/docs/ssh;https://github.com/pingdotgg/t3code/blob/main/docs/user/remote-access.md"
"Remote","Background service and unattended host","Not evidenced as a separate installed service","Partial - daemon/Remote Orca Server; service lifecycle not fully documented","Not evidenced","Yes - cloud workspaces persist independently of laptop; local service not central","Yes - Linux systemd/macOS launch agent, install/update/uninstall; Windows unsupported","T3 explicitly documents background service support and its platform limitation.","https://www.onorca.dev/docs/remote-servers;https://www.conductor.build/docs/cloud;https://github.com/pingdotgg/t3code/blob/main/docs/user/background-service.md"
"Remote","Cloud environment resources secrets and software","Not evidenced","Partial - disposable VM/per-workspace environment","Not evidenced","Yes - Cloud Computer with shared repos/env/secrets/software/builds and specified resources","Not evidenced as a managed shared cloud-computer feature","Conductor Cloud Computer is a distinctive product capability.","https://www.onorca.dev/docs/ways-to-run;https://www.conductor.build/docs/cloud/cloud-computer;https://github.com/pingdotgg/t3code/blob/main/docs/internals/t3-connect.md"
"Remote","Client/server version coordination","Partial - app/CLI/provider compatibility and persisted state; explicit client/server skew flow not a headline","Partial - remote server/client and app updates; details not as explicit","Partial - session restore/reconnect; version coordination not evidenced","Partial - desktop/cloud product updates; explicit skew model not evidenced","Yes - connection warnings, server update/reconnect flow, stable environment ID, version coordination","T3 has the most explicit client/server synchronization docs.","https://www.onorca.dev/docs/remote-servers;https://www.conductor.build/docs;https://github.com/pingdotgg/t3code/blob/main/docs/user/updating.md;https://github.com/pingdotgg/t3code/blob/main/docs/internals/remote.md"
"Extensibility","Agent-facing CLI","Yes - wardian CLI for agent identity, list/spawn/control, graph, workflows, library, Git, telemetry, reply, send, watch","Yes - Orca CLI for worktrees, terminals, browser, files/diffs, automations, artifacts, native tools, skills","Yes - CLI is a primary programmable control surface","Partial - API/desktop/mobile; CLI is not the primary product surface","Yes - t3 CLI for serve/pair/auth/connect/service and server management; app command palette handles product actions","Wardian, Orca, cmux, and T3 all have meaningful CLI surfaces; Conductor emphasizes API.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/cli.md;https://www.onorca.dev/docs/cli/overview;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/api;https://github.com/pingdotgg/t3code/blob/main/docs/user/remote-access.md"
"Extensibility","Machine-readable JSON or socket control","Yes - CLI/IPC contracts and structured evidence; app-owned state authority","Yes - CLI handle selectors and JSON machine interface","Yes - Unix socket, JSON scripting, handles, CMUX_* identifiers","Partial - HTTP API; event/JSON details are API-owned","Yes - authenticated Effect RPC WebSocket and JSON/event contracts","cmux's socket/handle primitive and T3's RPC session are distinct integration approaches.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/ipc-events.md;https://www.onorca.dev/docs/cli/reference;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/api;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Extensibility","Public HTTP or remote API","Partial - remote gateway/IPC; public automation API not a headline","Partial - remote server and CLI; public HTTP API not clearly documented","Partial - socket/CLI; no public HTTP API evidenced","Yes - beta HTTP API for workspaces, prompts, replies, status, cancel, archive, sleep, sessions, and SQL read-only org transcripts","Partial - server RPC is public to clients; no comparable public product HTTP API evidenced","Conductor has the clearest documented HTTP API; T3's RPC is the internal/client protocol boundary.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/remote-control.md;https://www.onorca.dev/docs/cli/reference;https://cmux.com/;https://www.conductor.build/docs/api;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Extensibility","MCP integration","Partial - Library MCP is a stub/planned surface; provider skills can expose tools","Yes - skills registry/MCP and native tools","Partial - cmux-artifact and related skills; MCP-style extensibility via skills","Yes - MCP stdio/Streamable HTTP/SSE at user/project/local scopes","Yes - MCP runtime/configuration and client/server orchestration support","MCP support ranges from first-class runtime integration to Wardian's explicitly stubbed Library section.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/library.md;https://www.onorca.dev/docs/cli/skills;https://github.com/manaflow-ai/cmux-skills;https://www.conductor.build/docs/reference/mcp;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Extensibility","Skills registry and installation","Yes - Garden/Library, skills deployment to agents/classes, provider-native discovery","Yes - installable skills and skills registry","Yes - cmux-skills collection including CLI/config/browser/workspace/artifact","Yes - skills/instruction files and provider command conventions","Yes - system/personal/project/app skills, source labels, slash menu, provider discovery","Wardian and T3 expose skills in UI; cmux distributes a dedicated skills repository.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/library.md;https://www.onorca.dev/docs/cli/skills;https://github.com/manaflow-ai/cmux-skills;https://www.conductor.build/docs/reference/agent-behavior;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Extensibility","Hooks and lifecycle callbacks","Yes - provider hooks/telemetry, agent notifications, workflow/listener triggers","Yes - .claude/.codex hooks, worktree setup hooks, managed status hooks","Yes - hooks command and OSC notification protocols","Partial - setup/run/archive scripts and agent instruction files; hook API not central","Partial - provider hooks/config and server reactors; user hook surface less explicit","Orca and cmux make hook integration most explicit; Wardian adds workflow listeners.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/agents/hooks-memory;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/configure-your-project;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Extensibility","Custom commands and configurable actions","Yes - command panel, prompt/library actions, CLI, custom provider args","Partial - Quick Commands and CLI; custom action breadth not fully evidenced","Yes - cmux.json custom commands, command palette, settings/config validation","Partial - slash commands, project scripts, agent instructions","Yes - command palette, slash commands/skills, provider commands, keybindings","cmux and T3 have explicit custom command surfaces; Wardian has a dedicated command panel.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/command-panel.md;https://www.onorca.dev/docs/terminal;https://cmux.com/docs/custom-commands;https://www.conductor.build/docs/reference/slash-commands;https://github.com/pingdotgg/t3code/blob/main/docs/user/keybindings.md"
"Extensibility","External issue/project integrations","Partial - provider/GitHub integration; no documented Linear/Jira native drawer","Yes - GitHub, Linear, Jira, GitLab and hosted reviews","Not evidenced","Partial - GitHub/cloud collaboration; external issue integrations not evidenced","Partial - GitHub/GitLab/Bitbucket/Azure DevOps source-control integrations","Orca's native issue/project integration is a notable gap for the others.","https://www.onorca.dev/docs/review/github;https://www.onorca.dev/docs/review/linear;https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Extensibility","Provider adapter or driver abstraction","Yes - provider-aware adapters, parsers, native delivery, session identity, and broker","Partial - supported agent integrations and any-CLI adapter behavior","No - provider-neutral terminal primitive rather than provider driver layer","Partial - first-party provider support and agent modes; adapter internals not public","Yes - built-in provider drivers, adapter registry, instance registry, command reactor, runtime ingestion","Wardian and T3 are the most explicit provider-runtime architectures; cmux deliberately avoids this layer.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/provider-runtimes.md;https://www.onorca.dev/docs/agents/supported;https://www.conductor.build/docs;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Notifications","Agent completion notifications","Yes - Inbox completion cards, desktop/remote alerts, workflow outcomes","Yes - agent-finished pings, system/sound/chip, persistent unread","Yes - OSC notifications, rings, unread, macOS notifications","Partial - workspace/chat activity and presence; completion notification details less explicit","Partial - thread completion/status and mobile; dedicated notification matrix not evidenced","cmux and Orca emphasize OS/attention notifications; Wardian emphasizes durable triage.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/inbox.md;https://www.onorca.dev/docs/notifications;https://cmux.com/;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/user/thread-sidebar.md"
"Notifications","Terminal OSC notification protocols","Partial - provider/runtime events and CLI notify; exact OSC matrix not a Wardian headline","Yes - managed status hooks/OSC support referenced","Yes - OSC 9/99/777 and CLI/hooks notifications","Not evidenced","Partial - provider runtime event ingestion; OSC support not evidenced","cmux explicitly documents the OSC protocol family as a native integration point.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/inbox.md;https://www.onorca.dev/docs/agents/hooks-memory;https://cmux.com/"
"Notifications","Sidebar status metadata branches PR cwd ports","Partial - roster/status/workspace/worktree/telemetry data","Yes - sidebar branch, PR, cwd, ports, latest notification","Yes - sidebar branch, PR, cwd, ports, latest notification","Partial - workspace/project/PR/checks metadata","Partial - thread/project/environment status; exact sidebar metadata matrix not evidenced","Orca and cmux explicitly use a metadata-rich side rail.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/watchlists.md;https://www.onorca.dev/docs/activity;https://cmux.com/;https://www.conductor.build/docs/reference/checks;https://github.com/pingdotgg/t3code/blob/main/docs/user/thread-sidebar.md"
"Settings","Themes fonts density and keyboard customization","Yes - theme sync, semantic tokens, shell/theme settings, command shortcuts","Yes - themes/customization, Ghostty/Warp theme import, UI zoom/density/fonts/minimap","Yes - Ghostty config, themes/fonts/cursor, settings/keybindings","Partial - settings and appearance; full theme/keybinding matrix not evidenced","Yes - settings, keybindings JSON, themes/appearance, environment artwork/version pill","cmux and Orca expose terminal/theme customization; T3 exposes configurable keybindings; Wardian uses semantic theming.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/settings.md;https://www.onorca.dev/docs/settings;https://cmux.com/;https://www.conductor.build/docs;https://github.com/pingdotgg/t3code/blob/main/docs/user/keybindings.md"
"Settings","Shell selection and terminal presets","Yes - shell selection and runtime/session policy controls","Yes - PowerShell/CMD/WSL, terminal presets, Quick Commands","Yes - Ghostty configuration and shell terminals","Yes - terminal presets and Big Terminal Mode","Yes - server-side shell/provider environment and terminal sessions","Windows shell coverage is explicit for Orca and T3; Wardian also models shell selection.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/terminal;https://www.conductor.build/docs/reference/big-terminal-mode;https://github.com/pingdotgg/t3code/blob/main/docs/user/install.md"
"Settings","Provider environment variables and secret handling","Yes - provider/runtime settings with safe configuration boundaries","Partial - provider settings/accounts; secret storage details not fully evidenced","Partial - config files and environment; secret management not central","Yes - cloud/local env/secrets and provider credentials","Yes - provider-scoped env vars, sensitive secret storage, account endpoints, auth settings","T3 and Conductor explicitly document secret handling; Wardian's provider readiness docs cover configuration boundaries.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/provider-readiness.md;https://www.onorca.dev/docs/settings;https://www.conductor.build/docs/cloud/cloud-computer;https://github.com/pingdotgg/t3code/blob/main/docs/user/providers-claude.md"
"Settings","App updates and release channels","Partial - app/runtime updates and persisted state; channel controls not a key Wardian feature","Partial - updates/RC settings and rollback behavior","Partial - native app updates; details not a core feature","Partial - cloud/desktop release updates","Yes - updating docs, client/server version warnings, stable/remote candidate handling","T3 and Orca document update workflows more explicitly than cmux/Conductor public docs.","https://www.onorca.dev/docs/settings;https://www.conductor.build/docs;https://github.com/pingdotgg/t3code/blob/main/docs/user/updating.md;https://github.com/pingdotgg/t3code/blob/main/docs/user/background-service.md"
"Observability","Agent/model/provider analytics","Yes - Analytics matrix by agent/model/provider/time bucket and CLI summaries","Yes - usage/rate limit/cost tracking","Not evidenced as model/provider analytics","Partial - workspace status/checks; usage analytics not evidenced","Yes - usage page, token/cost charts, model/provider dimensions, PostHog product analytics","Wardian analytics is telemetry-derived; T3 additionally documents product analytics internals.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/analytics.md;https://www.onorca.dev/docs/agents/usage-tracking;https://www.conductor.build/docs;https://github.com/pingdotgg/t3code/blob/main/docs/user/usage.md;https://github.com/pingdotgg/t3code/blob/main/docs/internals/product-analytics.md"
"Observability","Resource and process diagnostics","Yes - telemetry, PTY/provider process observation, CPU/memory/I/O, health and lifecycle views","Partial - usage/resource manager setting; detailed process diagnostics not evidenced","Partial - logs/sidebar state; resource diagnostics not evidenced","Partial - cloud workspace CPU/memory status","Yes - Rust resource monitor, process tree, CPU/memory/I/O, power/thermal state, health, history, safe signaling","T3 has unusually deep documented resource telemetry; Wardian has product telemetry and provider runtime observation.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/analytics.md;https://www.onorca.dev/docs/settings;https://www.conductor.build/docs/cloud/working-with-cloud-workspaces;https://github.com/pingdotgg/t3code/blob/main/docs/internals/resource-telemetry.md"
"Observability","Logs and inspectable event evidence","Yes - Markdown/filesystem state, telemetry, provider evidence, workflow timeline, raw/normalized events","Partial - transcript/session history and logs","Partial - logs command, screen reads, screenshots, notification history","Partial - chats/transcripts/checks and cloud data","Yes - canonical event log, orchestration projections, provider runtime ingestion, trace/diagnostic surfaces","Wardian/T3 have the most explicit event/projection evidence models.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/ipc-events.md;https://www.onorca.dev/docs/agents/session-history;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Observability","Anonymous telemetry controls and privacy","Partial - telemetry/analytics docs and local state; privacy control matrix not as explicit","Yes - anonymous product telemetry, DO_NOT_TRACK, ORCA_TELEMETRY_DISABLED","Not evidenced as product telemetry controls","Yes - security/privacy docs and cloud/local data boundaries","Yes - product analytics boundaries, no prompts/output/paths/IP/device names in documented client metadata","T3 and Orca explicitly document telemetry data boundaries and opt-out/config controls.","https://www.onorca.dev/docs/telemetry;https://www.conductor.build/docs/reference/security-and-permissions;https://github.com/pingdotgg/t3code/blob/main/docs/internals/product-analytics.md"
"Security","Local permissions and cloud sandbox boundary","Yes - local app authority, provider permissions, remote gateway security, app-owned workflow state","Partial - computer-use permission gate and local/remote modes","Partial - local native app, SSH relay, browser automation state","Yes - local user permissions versus isolated cloud sandbox; enterprise/security docs","Yes - provider permission modes, server-side auth, pairing/session security, local versus remote environment","Conductor and T3 make execution boundaries explicit; Wardian separates provider approvals from workflow/manual decisions.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/remote-control.md;https://www.onorca.dev/docs/cli/computer-use;https://www.conductor.build/docs/reference/security-and-permissions;https://github.com/pingdotgg/t3code/blob/main/docs/user/permission-modes.md"
"Security","Pairing tokens sessions and revocation","Yes - paired remote sessions, revocation/reset, origin/CSRF controls","Partial - mobile/remote server access; exact token lifecycle not evidenced","Partial - SSH relay HMAC/reconnect; iOS pairing details not fully public","Partial - shared workspace links and org access; token lifecycle not detailed","Yes - one-time owner pairing token, authenticated sessions, auth command, revoke/deregister, hosted hash token","T3 documents the most complete explicit pairing and revocation lifecycle; Wardian documents a secure paired PWA path.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/remote-control.md;https://www.onorca.dev/docs/remote-servers;https://cmux.com/docs/ssh;https://www.conductor.build/docs/reference/security-and-permissions;https://github.com/pingdotgg/t3code/blob/main/docs/user/remote-access.md"
"Security","Provider credential isolation","Yes - provider settings/instances and runtime-owned credentials","Partial - account switcher and provider homes","Not evidenced","Yes - own subscriptions/API keys, cloud secrets, org/admin boundaries","Yes - provider homes/config dirs, shadow homes, sensitive env vars, server-side authentication","T3's provider-home/shadow-home model is a distinctive account isolation feature.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/provider-readiness.md;https://www.onorca.dev/docs/agents/usage-tracking;https://www.conductor.build/docs/cloud/cloud-computer;https://github.com/pingdotgg/t3code/blob/main/docs/user/providers-codex.md"
"Agents","Durable agent memory store and recall","Yes - SQLite-backed memory save/list/recall/update/remove with agent-scoped capabilities, revisions, audit evidence, chat projection, and workflow commits","Partial - provider hooks and memory files are surfaced; no equivalent product-owned durable memory store evidenced","Not evidenced in reviewed first-party sources","Partial - project context files and shared cloud workspace context; no equivalent agent-owned memory store evidenced","Not evidenced in reviewed first-party user/internals docs as a product-owned long-term memory store","Provider session history is not the same feature as durable cross-session memory.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/agent-memory.md;https://github.com/wardian-app/Wardian/blob/main/docs/developer/agent-memory.md;https://www.onorca.dev/docs/agents/hooks-memory;https://www.conductor.build/docs/first-workspace;https://github.com/pingdotgg/t3code/blob/main/docs/README.md"
"Agents","Evidence-first memory provenance and selective injection","Yes - raw evidence is retained and indexed, selected context is injected with provenance, and promoted knowledge remains traceable","Not evidenced in reviewed first-party sources","Not evidenced in reviewed first-party sources","Not evidenced in reviewed first-party sources","Not evidenced in reviewed first-party sources","This is a distinctive Wardian design direction rather than a generic transcript/history feature.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/agent-memory.md;https://github.com/wardian-app/Wardian/blob/main/docs/specs/2026-04-17-evidence-first-memory.md"
"Agents","Durable agent identity and provider session IDs","Yes - durable roster identity, class/provider/workspace/worktree fields, exact provider session identity, and replacement-safe lifecycle","Partial - worktree/session records and transcript-based resume; identity model is less explicit","Yes - stable surface/session mappings, hook session IDs, and persisted agent-session bindings","Partial - workspace/agent identity and cloud persistence; detailed provider-session identity not evidenced","Yes - environment/project/thread/session identities and provider session state are server-owned","Identity persistence is different from merely restoring a pane or terminal.","https://github.com/wardian-app/Wardian/blob/main/docs/specs/2026-04-20-agent-identity-and-status-tracking.md;https://www.onorca.dev/docs/agents/session-history;https://github.com/manaflow-ai/cmux/blob/main/docs/agent-session-tracking-spec.md;https://www.conductor.build/docs/concepts/workspaces-and-branches;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Agents","Fresh versus resume session policy","Yes - global and per-agent Start Fresh versus Resume Sessions policy with provider-specific semantics","Yes - session restore and resume same session ID; host reboot limitations are explicit","Yes - automatic agent resume toggle, saved native resume command, and manual Resume fallback","Partial - workspace persistence/wake and session continuity; explicit fresh-versus-resume policy not richly documented","Partial - thread/session continuation and reconnect; explicit user-facing fresh-versus-resume policy not evidenced","Orca and cmux focus on restore; Wardian explicitly models the policy choice.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/settings.md;https://github.com/wardian-app/Wardian/blob/main/docs/specs/2026-04-17-session-persistence-policy.md;https://www.onorca.dev/docs/model/session-restore;https://github.com/manaflow-ai/cmux/blob/main/docs/agent-hooks.md;https://github.com/pingdotgg/t3code/blob/main/docs/internals/remote.md"
"Agents","Provider-native skill discovery adaptation","Yes - projected skills and instruction roots adapt to Antigravity, Claude, Codex, OpenCode, Pi, and Gemini rather than copying into repositories","Yes - provider path guides, hooks, and skill-sharing paths adapt to agent CLI conventions","Yes - hook installers and agent-specific extensions/config files support many CLIs","Yes - AGENTS.md/CLAUDE.md/.claude/commands and skills follow provider conventions","Yes - system/personal/project/app skills and provider-specific command discovery","All five support reusable agent context; Wardian and cmux document the most explicit multi-provider path adaptation.","https://github.com/wardian-app/Wardian/blob/main/docs/providers.md;https://github.com/stablyai/orca/blob/main/docs/reference/agent-skill-provider-paths.md;https://github.com/manaflow-ai/cmux/blob/main/docs/agent-hooks.md;https://www.conductor.build/docs/reference/agent-behavior;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Communication","Offline prompt queue and delivery receipts","Yes - messages can queue while an agent is offline/busy, with durable delivery receipts, replacement/withdrawal rules, and status-gated completion evidence","Partial - durable orchestration inbox/messages are documented; exact offline prompt receipt semantics are not fully public","Not evidenced as an offline agent-message queue; socket/terminal actions assume a live control path","Partial - shared chat/prompt workflows and workspace persistence; offline delivery receipt semantics not evidenced","Partial - queued command metadata and durable server events exist; a user-facing offline prompt queue is not clearly documented","Acceptance, delivery, and provider-confirmed completion are separate states in Wardian.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/native-orchestration-delivery.md;https://github.com/wardian-app/Wardian/blob/main/docs/specs/2026-08-24-offline-prompt-delivery.md;https://www.onorca.dev/docs/cli/orchestration;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://github.com/pingdotgg/t3code/blob/main/docs/internals/connection-runtime.md"
"Communication","Acceptance versus completion evidence model","Yes - distinguishes queued/accepted/provider-started/provider-completed evidence and reconciles uncertain submission without automatic replay","Not evidenced in reviewed first-party sources","Not evidenced in reviewed first-party sources","Not evidenced in reviewed first-party sources","Partial - event-sourced turn state and provider receipts distinguish runtime events, but Wardian's delivery contract is not evidenced","This is a reliability/semantics feature, not just a send button.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/native-orchestration-delivery.md;https://github.com/wardian-app/Wardian/blob/main/docs/specs/2026-08-01-delivery-receipts-and-safe-mailbox-recovery.md;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Communication","Native provider delivery broker and reconciliation","Yes - Wardian-owned delivery broker sits between adapters and mailbox/interaction stores with idempotency, generation fencing, late reconciliation, and no silent retry","Not evidenced as a Wardian-style provider delivery broker","Not evidenced; cmux is a terminal/socket primitive","Not evidenced in reviewed first-party sources","Partial - ProviderCommandReactor and RuntimeReceiptBus provide server-side provider dispatch and receipts, but the public semantics differ","Adapters are transport-specific; the broker owns Wardian-level delivery semantics.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/native-orchestration-delivery.md;https://github.com/wardian-app/Wardian/blob/main/docs/developer/provider-runtimes.md;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Communication","Teams and bulk selection actions","Yes - teams, watchlists, multi-select roster actions, broadcasts, bulk lifecycle actions, and team-seeded topology edges","Partial - multi-select worktrees and parallel fan-out; durable team/bulk lifecycle semantics less explicit","Partial - workspace multi-selection/groups and provider teams; bulk agent lifecycle controls not central","Partial - multiple agents/workspaces and shared prompting; bulk controls not a primary documented surface","Partial - multiple threads/workspaces and background launches; no equivalent durable team bulk-control layer evidenced","Wardian combines selection, teams, and communication topology into one coordination model.","https://github.com/wardian-app/Wardian/blob/main/docs/specs/2026-04-19-agent-teams-and-bulk-actions.md;https://www.onorca.dev/docs/model/worktrees;https://cmux.com/;https://www.conductor.build/docs/concepts/parallel-agents;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Surfaces","Adaptive agent overview layout modes","Yes - Agents Overview supports Auto, Grid, and Single/focused layouts with responsive sizing and terminal/chat cards","Yes - Agent Dashboard kanban with status/project/PR filters and pop-out; layout model differs","Not evidenced as a multi-agent overview layout surface","Partial - workspace/home and agent views; overview layout modes not richly documented","Partial - thread/sidebar and mobile navigation; no equivalent Agent Overview layout modes evidenced","This compares fleet-monitoring presentation, not terminal splits.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/agents-overview.md;https://www.onorca.dev/docs/model/agents-sessions;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/user/thread-sidebar.md"
"Surfaces","Live dashboard fleet table and trend metrics","Yes - Dashboard table by agent with state, trend, active time, turns, tokens, files, lines, provider strip, and selectable window","Partial - usage/rate-limit dashboard and agent dashboard; exact fleet metric table not evidenced","Not evidenced as a provider/model fleet dashboard","Partial - workspace status/checks/resource status; exact fleet trend table not evidenced","Partial - usage page and diagnostics/resource views; exact Wardian dashboard table not evidenced","Wardian's Dashboard and Analytics split live fleet monitoring from historical analysis.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/dashboard.md;https://github.com/wardian-app/Wardian/blob/main/docs/guide/analytics.md;https://www.onorca.dev/docs/agents/usage-tracking;https://www.conductor.build/docs/reference/checks;https://github.com/pingdotgg/t3code/blob/main/docs/user/usage.md"
"Surfaces","Standalone user terminal distinct from agent terminals","Yes - separate user terminal surface alongside managed provider terminals","Yes - floating terminal and terminal tabs independent of agent sessions","Yes - terminal is the primary primitive and can launch arbitrary commands","Yes - Big Terminal Mode and ordinary terminal commands alongside agent work","Yes - server-owned terminal sessions distinct from provider threads","This separates operator shell work from provider-owned agent sessions.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/workbench.md;https://www.onorca.dev/docs/terminal;https://cmux.com/;https://www.conductor.build/docs/reference/big-terminal-mode;https://github.com/pingdotgg/t3code/blob/main/docs/architecture/terminal-renderers.md"
